archivo,autor,sitio,url_original
categorias/hoteles.jpg,Emilio Sánchez Hernández,Pexels,https://www.pexels.com/photo/facade-of-hotel-in-city-16543093/
categorias/departamentos.jpg,Mugurel Moscaliuc,Pexels,https://www.pexels.com/photo/modern-apartment-building-by-riverside-33678963/
categorias/cabanas.jpg,caffeine,Pexels,https://www.pexels.com/photo/a-frame-cabins-in-pine-forest-ankara-turkiye-31673270/
categorias/hostels.jpg,Diwata,Pexels,https://www.pexels.com/photo/a-hostel-with-orange-painted-walls-5152833/
categorias/resorts.jpg,Darrell Fraser,Pexels,https://www.pexels.com/photo/swimming-pool-beside-cottages-2259226/
categorias/casas.jpg,Freddy,Pexels,https://www.pexels.com/photo/colonial-style-brick-house-with-red-roof-36394965/
alojamientos/hotel-costa-serena/01.jpg,Emilio Sánchez Hernández,Pexels,https://www.pexels.com/photo/facade-of-hotel-in-city-16543093/
alojamientos/hotel-costa-serena/02.jpg,lumverte,Pexels,https://www.pexels.com/photo/elegant-hotel-room-with-ocean-view-and-modern-decor-33198964/
alojamientos/hotel-costa-serena/03.jpg,imren tutuncu,Pexels,https://www.pexels.com/photo/room-with-view-on-sea-20106716/
alojamientos/hotel-costa-serena/04.jpg,Ksu&Eli Studio,Pexels,https://www.pexels.com/photo/a-swimming-pool-with-plants-8680959/
alojamientos/hotel-costa-serena/05.jpg,Misbaa eri,Pexels,https://www.pexels.com/photo/luxurious-hotel-breakfast-buffet-with-fresh-fruits-36782825/
alojamientos/cabanas-del-bosque/01.jpg,caffeine,Pexels,https://www.pexels.com/photo/a-frame-cabins-in-pine-forest-ankara-turkiye-31673270/
alojamientos/cabanas-del-bosque/02.jpg,Alexander Mass,Pexels,https://www.pexels.com/photo/cozy-rustic-cabin-with-modern-wood-stove-33640978/
alojamientos/cabanas-del-bosque/03.jpg,Ata Ebem,Pexels,https://www.pexels.com/photo/furnace-in-wooden-cabin-10560268/
alojamientos/cabanas-del-bosque/04.jpg,Johan Van Geijl,Pexels,https://www.pexels.com/photo/interior-design-of-cabin-14945914/
alojamientos/cabanas-del-bosque/05.jpg,Erik Mclean,Pexels,https://www.pexels.com/photo/a-home-interior-of-wooden-house-9890739/
alojamientos/loft-centro-historico/01.jpg,Chris Palladino,Pexels,https://www.pexels.com/photo/modern-industrial-loft-apartment-in-boston-38661244/
alojamientos/loft-centro-historico/02.jpg,Isaac Villavicencio,Pexels,https://www.pexels.com/photo/industrial-loft-interior-with-vintage-furniture-32984417/
alojamientos/loft-centro-historico/03.jpg,Mateusz Pielech,Pexels,https://www.pexels.com/photo/modern-kitchen-interior-with-brick-wall-and-wooden-countertop-29252612/
alojamientos/loft-centro-historico/04.jpg,Max Vakhtbovych,Pexels,https://www.pexels.com/photo/kitchen-zone-in-apartment-in-loft-style-7045940/
alojamientos/loft-centro-historico/05.jpg,Max Vakhtbovych,Pexels,https://www.pexels.com/photo/bright-room-in-apartment-8092188/
alojamientos/posada-valle-andino/01.jpg,Istvan Gerenyi,Pexels,https://www.pexels.com/photo/mountain-lodge-with-scenic-views-and-outdoor-seating-38876399/
alojamientos/posada-valle-andino/02.jpg,Get Lost Mike,Pexels,https://www.pexels.com/photo/bedroom-on-a-wooden-house-5439496/
alojamientos/posada-valle-andino/03.jpg,Quang Nguyen Vinh,Pexels,https://www.pexels.com/photo/modern-hotel-buffet-with-refreshment-station-28999498/
alojamientos/posada-valle-andino/04.jpg,Maël BALLAND,Pexels,https://www.pexels.com/photo/brown-concrete-building-near-mountain-14339517/
alojamientos/posada-valle-andino/05.jpg,Renata Rafa,Pexels,https://www.pexels.com/photo/rustic-mountain-lodge-in-winter-snow-37264043/
alojamientos/resort-bahia-azul/01.jpg,Mikhail Nilov,Pexels,https://www.pexels.com/photo/swimming-pools-at-the-baha-mar-resort-complex-in-nassau-9400976/
alojamientos/resort-bahia-azul/02.jpg,Darrell Fraser,Pexels,https://www.pexels.com/photo/swimming-pool-beside-cottages-2259226/
alojamientos/resort-bahia-azul/03.jpg,Ahmet ÇÖTÜR,Pexels,https://www.pexels.com/photo/a-bathtub-in-a-hotel-room-24805055/
alojamientos/resort-bahia-azul/04.jpg,Vlada Karpovich,Pexels,https://www.pexels.com/photo/view-of-the-sea-from-a-pool-in-the-balcony-7903165/
alojamientos/resort-bahia-azul/05.jpg,Ksu&Eli Studio,Pexels,https://www.pexels.com/photo/a-swimming-pool-with-plants-8680959/
alojamientos/hostel-puerto-viejo/01.jpg,Selim Karadayı,Pexels,https://www.pexels.com/photo/urban-scene-with-vibrant-hostel-signage-35004399/
alojamientos/hostel-puerto-viejo/02.jpg,Diwata,Pexels,https://www.pexels.com/photo/a-hostel-with-orange-painted-walls-5152833/
alojamientos/hostel-puerto-viejo/03.jpg,lumverte,Pexels,https://www.pexels.com/photo/scenic-rooftop-balconies-with-urban-sunset-view-35381770/
alojamientos/hostel-puerto-viejo/04.jpg,Sandy Ravaloniaina,Pexels,https://www.pexels.com/photo/sunlit-corridor-in-morondava-madagascar-38587816/
alojamientos/hostel-puerto-viejo/05.jpg,sparkle light,Pexels,https://www.pexels.com/photo/cozy-outdoor-cafe-with-empty-patio-seating-31950408/
alojamientos/departamento-vista-rio/01.jpg,Mugurel Moscaliuc,Pexels,https://www.pexels.com/photo/modern-apartment-building-by-riverside-33678963/
alojamientos/departamento-vista-rio/02.jpg,Plato Terentev,Pexels,https://www.pexels.com/photo/apartment-building-near-the-river-during-night-time-9807250/
alojamientos/departamento-vista-rio/03.jpg,Алан Албегов,Pexels,https://www.pexels.com/photo/spacious-open-space-apartment-20290909/
alojamientos/departamento-vista-rio/04.jpg,Mochammad Algi,Pexels,https://www.pexels.com/photo/sunlit-pool-at-house-19977303/
alojamientos/departamento-vista-rio/05.jpg,Kris Møklebust,Pexels,https://www.pexels.com/photo/urban-skyline-with-river-and-buildings-under-clear-sky-33635055/
alojamientos/estancia-los-alamos/01.jpg,Castorly Stock,Pexels,https://www.pexels.com/photo/horses-on-white-wooden-fence-under-blue-sky-9042968/
alojamientos/estancia-los-alamos/02.jpg,Magda Ehlers,Pexels,https://www.pexels.com/photo/brown-house-on-green-grass-field-under-white-clouds-3822357/
alojamientos/estancia-los-alamos/03.jpg,Musa Ortaç,Pexels,https://www.pexels.com/photo/cozy-living-room-with-a-fireplace-18091484/
alojamientos/estancia-los-alamos/04.jpg,Erik Mclean,Pexels,https://www.pexels.com/photo/photo-of-a-wooden-house-s-interior-9890656/
alojamientos/estancia-los-alamos/05.jpg,Çağrı Selçuk,Pexels,https://www.pexels.com/photo/horses-looking-out-from-rustic-barn-stalls-33703992/
alojamientos/suites-del-lago/01.jpg,Alexey Avilov,Pexels,https://www.pexels.com/photo/lakeside-wooden-house-with-view-of-mountains-9956964/
alojamientos/suites-del-lago/02.jpg,Helena Jankovičová Kováčová,Pexels,https://www.pexels.com/photo/an-old-pier-20079776/
alojamientos/suites-del-lago/03.jpg,Tobi,Pexels,https://www.pexels.com/photo/brown-wooden-house-in-lake-3353245/
alojamientos/suites-del-lago/04.jpg,Reyyan Orgun,Pexels,https://www.pexels.com/photo/house-by-the-lake-in-a-valley-19684467/
alojamientos/suites-del-lago/05.jpg,Courtney RA,Pexels,https://www.pexels.com/photo/cozy-lakeside-house-at-sunset-with-fairy-lights-35194568/
alojamientos/casa-colonial-palermo/01.jpg,Freddy,Pexels,https://www.pexels.com/photo/colonial-style-brick-house-with-red-roof-36394965/
alojamientos/casa-colonial-palermo/02.jpg,Coralí Lozano,Pexels,https://www.pexels.com/photo/view-of-a-patio-in-a-villa-through-an-arched-walkway-17003149/
alojamientos/casa-colonial-palermo/03.jpg,Thới Nam Cao,Pexels,https://www.pexels.com/photo/traditional-courtyard-with-wooden-furniture-and-lanterns-31213888/
alojamientos/casa-colonial-palermo/04.jpg,Dineth Sachintha,Pexels,https://www.pexels.com/photo/plants-on-building-courtyard-14694142/
